,threshold,mean_time,std_time
0,0,0.0009774928190269907,0.0006978856566271159
1,4,0.0006354117880061885,0.000572851245669217
2,8,0.000528861065300116,0.000520732878392322
3,12,0.0005000941607416632,0.0005076081471415376
4,16,0.0005089774423715755,0.0005142387666351962
5,20,0.0004914288618126437,0.0005073673116687954
6,24,0.0004612129561754886,0.000511350473631338
7,28,0.0005057047824470112,0.00051241153106493
8,32,0.0004905574175776025,0.0005187866518239614
9,36,0.0005374324565030821,0.0005157394001058331
10,40,0.0005093039298543874,0.0005161362730645741
11,44,0.0005361659186226708,0.0005133577298378895
12,48,0.0005390157504957275,0.0005166276411259146
13,52,0.0005297568379615986,0.0005217260751001462
14,56,0.0005858737595227015,0.0005432256486739929
15,60,0.0006193632982214819,0.0005872692580513507
16,64,0.0006205028417158796,0.0005727608989706337
17,68,0.0006235098352237347,0.0005940663871818437
18,72,0.0006620149223171625,0.0005705284544258976
19,76,0.0006185298063316845,0.0005828144050021285
20,80,0.0006680381541349141,0.0005710962562610771
21,84,0.0006614495296867215,0.0005710417943585413
22,88,0.0006993220776927399,0.0006677659305150466
23,92,0.0007302182061331306,0.0006044590500897443
24,96,0.0007438070920048614,0.0006383667302190376
25,100,0.0007723487153344879,0.0006433510485518123
26,104,0.0008135323621788463,0.0006635961954662302
27,108,0.0007531477480518273,0.0006965652353093037
28,112,0.0008527906573548276,0.0007010120730919436
29,116,0.0009309788139498625,0.0007690016440682792
30,120,0.0009002855845859748,0.0007661944434642088
31,124,0.0010098977964751235,0.0007984414238797499
32,128,0.0009238510715717845,0.0007619475977221642
33,132,0.0009657324576864099,0.0007571831391231839
34,136,0.000953575542994874,0.0007876554738670309
35,140,0.0009749183849412237,0.0007890364567563344
36,144,0.00100186406349646,0.0007828091513298845
37,148,0.0009756672139070118,0.0007652854266957205
38,152,0.0009969229600867095,0.0007680227710876259
39,156,0.000994427350102606,0.0007863873366614856
40,160,0.0010358265468052128,0.0008065064917215343
41,164,0.0010465894426617982,0.0008237756340254994
42,168,0.001094890127376602,0.0008581232593396931
43,172,0.001042274552948587,0.0008299082530023652
44,176,0.0010875298052417663,0.0008621751467032464
45,180,0.0011235655570516442,0.0008774334173130565
46,184,0.0011359759739466748,0.0008697279823442105
47,188,0.001155225111513691,0.0008905159454175503
48,192,0.0011877522176625447,0.0009315923139779523
49,196,0.0012031749803192442,0.0009621191955388937
50,200,0.0011960774051899491,0.0009330514082044115
