,0,1,2,3,4,5,6,7,8,9
10,0.0,0.0,0.0,0.0009922981262207031,0.0,0.0,0.0010118484497070312,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009996891021728516
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0010008811950683594,0.0,0.0,0.0009996891021728516,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0010106563568115234,0.0010268688201904297,0.0,0.0,0.0010030269622802734,0.0010235309600830078,0.0,0.0,0.0009970664978027344
40,0.0,0.0009958744049072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010294914245605469
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0010116100311279297,0.0,0.0010056495666503906,0.0,0.0010144710540771484,0.0,0.0,0.00099945068359375,0.0
55,0.0010001659393310547,0.0,0.0,0.0,0.0009946823120117188,0.0,0.0,0.00099945068359375,0.0010004043579101562,0.0
60,0.001001596450805664,0.0,0.0,0.0009899139404296875,0.0009911060333251953,0.0,0.00099945068359375,0.0009980201721191406,0.0010030269622802734,0.0
65,0.0009980201721191406,0.0009949207305908203,0.0,0.0010039806365966797,0.0,0.0,0.0,0.0,0.0010013580322265625,0.0
70,0.0009982585906982422,0.0010056495666503906,0.0,0.000995635986328125,0.0010020732879638672,0.0010061264038085938,0.0009970664978027344,0.0,0.0,0.0
75,0.0,0.0010001659393310547,0.0009975433349609375,0.0010044574737548828,0.0,0.000997781753540039,0.0,0.0010044574737548828,0.0,0.0
80,0.0009999275207519531,0.0,0.0,0.0,0.0009987354278564453,0.001003265380859375,0.0,0.0,0.0,0.0
85,0.0009982585906982422,0.0010008811950683594,0.0,0.0,0.0010077953338623047,0.0005128383636474609,0.000990152359008789,0.0,0.0010001659393310547,0.0009989738464355469
90,0.0,0.0,0.0010004043579101562,0.0,0.0,0.0010051727294921875,0.0010013580322265625,0.001007080078125,0.0,0.0010056495666503906
95,0.0,0.0010013580322265625,0.0,0.0010004043579101562,0.0,0.0009877681732177734,0.0009987354278564453,0.0,0.0,0.00099945068359375
100,0.000995635986328125,0.0009851455688476562,0.0010039806365966797,0.0010025501251220703,0.0009832382202148438,0.0,0.0,0.00099945068359375,0.0,0.0009980201721191406
105,0.0009965896606445312,0.0010035037994384766,0.00099945068359375,0.0,0.0009999275207519531,0.0009865760803222656,0.0009868144989013672,0.0010063648223876953,0.0010004043579101562,0.0009999275207519531
110,0.001001119613647461,0.0010001659393310547,0.0010106563568115234,0.0010023117065429688,0.001007080078125,0.0,0.0010042190551757812,0.0,0.00099945068359375,0.0010113716125488281
115,0.0,0.0009999275207519531,0.0009984970092773438,0.001020669937133789,0.0,0.0009999275207519531,0.0009989738464355469,0.0009999275207519531,0.001001596450805664,0.001001119613647461
120,0.0010013580322265625,0.0,0.0,0.0009906291961669922,0.0,0.0,0.0010170936584472656,0.0,0.0009984970092773438,0.0010004043579101562
125,0.0009827613830566406,0.0009868144989013672,0.0009965896606445312,0.0010013580322265625,0.0010137557983398438,0.000985860824584961,0.0009946823120117188,0.001001119613647461,0.0,0.000988006591796875
130,0.002004384994506836,0.0009975433349609375,0.0010106563568115234,0.001032114028930664,0.0010013580322265625,0.0010013580322265625,0.0009996891021728516,0.0009980201721191406,0.0009982585906982422,0.0010035037994384766
135,0.0009987354278564453,0.0010027885437011719,0.000997781753540039,0.0009992122650146484,0.0010154247283935547,0.0009927749633789062,0.001009225845336914,0.0009975433349609375,0.000997304916381836,0.0009968280792236328
140,0.000997781753540039,0.0009992122650146484,0.0010001659393310547,0.0009999275207519531,0.000993490219116211,0.0010042190551757812,0.0009846687316894531,0.0009970664978027344,0.0010333061218261719,0.0010077953338623047
145,0.001012563705444336,0.0010118484497070312,0.0010006427764892578,0.0009999275207519531,0.0009958744049072266,0.00201416015625,0.0010020732879638672,0.0009882450103759766,0.0009980201721191406,0.0010173320770263672
150,0.0010001659393310547,0.0010137557983398438,0.0010118484497070312,0.001001119613647461,0.0009899139404296875,0.0010118484497070312,0.0010180473327636719,0.0010001659393310547,0.0009999275207519531,0.001997232437133789
155,0.0010077953338623047,0.0009789466857910156,0.0009999275207519531,0.0009868144989013672,0.0010111331939697266,0.00098419189453125,0.0010151863098144531,0.0009968280792236328,0.0009891986846923828,0.0010139942169189453
160,0.0010662078857421875,0.0010716915130615234,0.0010075569152832031,0.002040863037109375,0.0009996891021728516,0.0019919872283935547,0.0009453296661376953,0.0009999275207519531,0.0009996891021728516,0.0010743141174316406
165,0.0010001659393310547,0.001999378204345703,0.001012563705444336,0.0020012855529785156,0.0009958744049072266,0.0010089874267578125,0.0018916130065917969,0.0010113716125488281,0.0009884834289550781,0.0010001659393310547
170,0.0019948482513427734,0.0010061264038085938,0.0019991397857666016,0.0009911060333251953,0.0010111331939697266,0.0010101795196533203,0.0010027885437011719,0.0009949207305908203,0.0010013580322265625,0.0010995864868164062
175,0.002001047134399414,0.001007080078125,0.001005411148071289,0.0019927024841308594,0.0010023117065429688,0.001898050308227539,0.0009992122650146484,0.00099945068359375,0.0011112689971923828,0.0010004043579101562
180,0.0020017623901367188,0.0011432170867919922,0.0019996166229248047,0.0010266304016113281,0.0019998550415039062,0.0010061264038085938,0.003001689910888672,0.0009965896606445312,0.0009996891021728516,0.0010006427764892578
185,0.001003265380859375,0.0009942054748535156,0.0008873939514160156,0.0010001659393310547,0.0009999275207519531,0.002111196517944336,0.0009949207305908203,0.002110004425048828,0.0010004043579101562,0.002144336700439453
