,0,1,2,3,4,5,6,7,8,9,threshold
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010006427764892578,168
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168
30,0.001001119613647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168
35,0.0009999275207519531,0.0,0.0,0.0,0.0,0.0,0.0010001659393310547,0.0,0.0,0.0,168
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168
45,0.0010020732879638672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010249614715576172,168
50,0.0,0.0,0.0,0.0,0.0009989738464355469,0.0,0.0,0.0,0.0,0.0,168
55,0.00099945068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168
60,0.0,0.0009984970092773438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009975433349609375,168
65,0.0009975433349609375,0.0,0.0,0.0,0.0,0.0,0.000985860824584961,0.0,0.0,0.0,168
70,0.0009922981262207031,0.0,0.0,0.0009992122650146484,0.0009853839874267578,0.000997781753540039,0.0,0.0009984970092773438,0.0,0.0,168
75,0.0,0.0,0.0,0.0,0.0010004043579101562,0.0,0.0010008811950683594,0.0010020732879638672,0.0,0.0,168
80,0.0009989738464355469,0.000997304916381836,0.0,0.0,0.0,0.0,0.0010001659393310547,0.0009913444519042969,0.0,0.001001119613647461,168
85,0.0010256767272949219,0.0009992122650146484,0.0,0.0,0.0010101795196533203,0.0,0.0,0.0009913444519042969,0.0009870529174804688,0.0009868144989013672,168
90,0.0,0.0,0.0009982585906982422,0.000997304916381836,0.0009989738464355469,0.0,0.0010001659393310547,0.0009915828704833984,0.0,0.0009860992431640625,168
95,0.001010894775390625,0.000997781753540039,0.0010001659393310547,0.001003265380859375,0.0009965896606445312,0.0,0.0015087127685546875,0.00099945068359375,0.0009951591491699219,0.0009992122650146484,168
