,0,1,2,3,4,5,6,7,8,9,threshold
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
40,0.0,0.0,0.0010039806365966797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
45,0.0,0.0008916854858398438,0.0010895729064941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
50,0.0,0.0009958744049072266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
55,0.0,0.0,0.0010139942169189453,0.0,0.0,0.0010006427764892578,0.0,0.0,0.0,0.0,172
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172
65,0.0,0.0010104179382324219,0.0,0.0,0.0,0.0009987354278564453,0.000997781753540039,0.0,0.0010254383087158203,0.0,172
70,0.0,0.0,0.0009829998016357422,0.0,0.0009946823120117188,0.0009970664978027344,0.0,0.0009987354278564453,0.0,0.0,172
75,0.0,0.0009999275207519531,0.0010004043579101562,0.0010018348693847656,0.0009999275207519531,0.0,0.0010025501251220703,0.0010001659393310547,0.0009992122650146484,0.0,172
80,0.0010116100311279297,0.0010018348693847656,0.0,0.0,0.0010006427764892578,0.00099945068359375,0.0,0.0009980201721191406,0.0,0.0,172
85,0.0,0.0,0.0009980201721191406,0.0,0.001012563705444336,0.0,0.0009908676147460938,0.0009868144989013672,0.0015087127685546875,0.0009870529174804688,172
90,0.0,0.0009987354278564453,0.0,0.0009996891021728516,0.0010018348693847656,0.0,0.001001596450805664,0.0,0.0010063648223876953,0.0,172
95,0.0009987354278564453,0.0,0.0,0.00099945068359375,0.0009970664978027344,0.0,0.0,0.0,0.0010006427764892578,0.0,172
100,0.0,0.0009920597076416016,0.0008969306945800781,0.0,0.0010006427764892578,0.0,0.0009903907775878906,0.0010061264038085938,0.0009870529174804688,0.0,172
