,0,1,2,3,4,5,6,7,8,9,threshold
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
20,0.0010051727294921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
35,0.0009908676147460938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000997781753540039,0.0,104
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010097026824951172,0.0,0.0,104
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
50,0.0,0.0008757114410400391,0.001001596450805664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
55,0.0,0.0,0.0009999275207519531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104
60,0.0,0.0009925365447998047,0.000985860824584961,0.0,0.0,0.0010199546813964844,0.0,0.0,0.0,0.0,104
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010297298431396484,0.0,0.0,104
70,0.0,0.0,0.0,0.0010118484497070312,0.0,0.0,0.0010151863098144531,0.001001596450805664,0.0,0.00099945068359375,104
75,0.0010142326354980469,0.0,0.0,0.0,0.0,0.0,0.0009961128234863281,0.0,0.0009996891021728516,0.0,104
80,0.0010066032409667969,0.001001119613647461,0.0,0.0010020732879638672,0.0,0.0010116100311279297,0.0010001659393310547,0.0,0.0,0.0009696483612060547,104
85,0.0009942054748535156,0.0009958744049072266,0.0009884834289550781,0.0009968280792236328,0.0009887218475341797,0.0,0.0009984970092773438,0.0,0.0,0.0010008811950683594,104
90,0.0,0.0010013580322265625,0.001005411148071289,0.0009882450103759766,0.0,0.0009999275207519531,0.0010001659393310547,0.0009963512420654297,0.0009739398956298828,0.0,104
95,0.0009987354278564453,0.0,0.0010154247283935547,0.0010001659393310547,0.0009999275207519531,0.0010106563568115234,0.000988006591796875,0.0010013580322265625,0.00099945068359375,0.0,104
100,0.000985860824584961,0.0009999275207519531,0.001009225845336914,0.00152587890625,0.0010142326354980469,0.0,0.0010116100311279297,0.0009872913360595703,0.0,0.0010004043579101562,104
