,0,1,2,3,4,5,6,7,8,9,threshold
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009963512420654297,0.0,0.0,40
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
40,0.0015075206756591797,0.0,0.0,0.0,0.0010008811950683594,0.0,0.0,0.0,0.0,0.0,40
45,0.0,0.0,0.0010004043579101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
60,0.0,0.0,0.0009989738464355469,0.0,0.0,0.0,0.0010004043579101562,0.0,0.0,0.0,40
65,0.0,0.0010008811950683594,0.0009984970092773438,0.000997304916381836,0.0,0.0010023117065429688,0.0009417533874511719,0.0,0.0009946823120117188,0.0011088848114013672,40
70,0.0005147457122802734,0.0,0.00099945068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
75,0.0,0.0,0.0,0.0009984970092773438,0.0010008811950683594,0.0010044574737548828,0.0,0.0,0.0010068416595458984,0.0,40
80,0.0,0.0,0.0,0.0,0.0009951591491699219,0.0009946823120117188,0.0,0.0,0.0,0.0010223388671875,40
85,0.0,0.0,0.0,0.0,0.0,0.0009882450103759766,0.0,0.00099945068359375,0.0,0.0,40
90,0.0,0.0010056495666503906,0.0,0.0,0.0,0.0,0.0009963512420654297,0.0,0.0,0.0,40
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010037422180175781,0.0,0.0,40
100,0.0010128021240234375,0.0,0.0,0.0,0.0009894371032714844,0.0,0.0,0.0,0.0,0.0,40
105,0.0,0.0009951591491699219,0.0,0.0,0.0,0.0,0.0010149478912353516,0.0009984970092773438,0.0009887218475341797,0.0010035037994384766,40
110,0.0,0.0,0.0,0.0010116100311279297,0.0010039806365966797,0.0009868144989013672,0.0,0.0010061264038085938,0.00099945068359375,0.001004934310913086,40
