,threshold,n_digits,mean_time,std_time
0,0,10,0.00010020732879638,0.00031688339723794
1,0,15,0.00029911994934081,0.0004816299375637543
2,0,20,9.882450103759e-05,0.0003125105119084577
3,0,25,9.992122650146001e-05,0.0003159786623421916
4,0,30,0.0,0.0
5,0,35,0.0,0.0
6,0,40,0.00019941329956052996,0.00042040953788977965
7,0,45,0.00029883384704588003,0.00048118478506644697
8,0,50,0.00040159225463865,0.0005184655413318976
9,0,55,0.00059943199157712,0.000515990341259335
10,0,60,0.00100147724151607,8.021839447277642e-06
11,0,65,0.00040442943572996,0.000522202573366362
12,0,70,0.0004993915557861,0.0005264458614003128
13,0,75,0.00089986324310298,0.0003163049778005485
14,0,80,0.00049502849578855,0.0005218266042234829
15,0,85,0.00049812793731687,0.0005250942108284476
16,0,90,0.00060062408447263,0.0005170567502646023
17,0,95,0.00070438385009762,0.00048613054185588214
18,0,100,0.00060365200042721,0.0005195850654066218
19,0,105,0.00070316791534421,0.0004852585747432076
20,0,110,0.0009001016616820799,0.00031636110249268424
21,0,115,0.0007983922958373701,0.0004207996447562091
22,0,120,0.0009011983871459499,0.0003169403042989468
23,0,125,0.0008003950119018201,0.00042190325305660443
24,0,130,0.00129959583282468,0.0006768634312327116
25,0,135,0.0009015560150146,0.0003169102267804182
26,0,140,0.0010032415390014199,1.5170555016328586e-05
27,0,145,0.00100371837615961,1.0251968097880527e-05
28,0,150,0.00109767913818355,0.00031694605442482546
29,0,155,0.00110089778900141,0.0003157097787424881
30,0,160,0.00110020637512201,0.0003198016353313485
31,0,165,0.00119841098785396,0.0004251728213263503
32,0,170,0.0010999202728271,0.000563533370050193
33,0,175,0.0014014720916747602,0.0005167423828376976
34,0,180,0.001504373550415,0.0005303002201881523
35,0,185,0.0013158321380614799,0.000471901475967778
36,0,190,0.00130164623260493,0.00048464424224354695
37,0,195,0.00162382125854487,0.00047231701116402986
38,0,200,0.00150210857391352,0.000518363944041974
39,0,205,0.0017852544784545499,0.0006491096861367799
40,0,210,0.0015471458435058101,0.000504658100769675
41,0,215,0.0015977621078490998,0.0005184502776988527
42,0,220,0.00189843177795406,0.0003155982072986948
43,0,225,0.0016111850738525003,0.0005230960470853158
44,0,230,0.0018901348114013401,0.0003142220957763712
45,0,235,0.0018133878707885498,0.00043608638007868757
46,0,240,0.00197546482086178,4.30550846227327e-05
47,0,245,0.0018215417861938,0.000435922717936532
48,0,250,0.00159478187561031,0.0005113522428478434
49,4,10,0.00020029544830322,0.0004222787307871364
50,4,15,0.0,0.0
51,4,20,0.0,0.0
52,4,25,0.00040018558502195997,0.0005166473855588531
53,4,30,0.00020070075988768001,0.00042311448725968387
54,4,35,0.00019977092742919002,0.0004211586866980188
55,4,40,0.0,0.0
56,4,45,0.0,0.0
57,4,50,0.00019981861114501,0.0004212569627469705
58,4,55,0.00019893646240233,0.0004194166327862515
59,4,60,9.994506835937e-05,0.00031605405691683726
60,4,65,0.00045013427734373005,0.0006001639141148049
61,4,70,0.00030188560485838,0.00048608780323012543
62,4,75,0.00040006637573240003,0.000516524679362843
63,4,80,0.00020086765289305,0.00042346703322233484
64,4,85,0.00039691925048825,0.0005124475908210054
65,4,90,0.00049939155578611,0.0005264293168466355
66,4,95,0.00059576034545895,0.0005127989311295891
67,4,100,0.00040106773376462,0.0005178462124698784
68,4,105,0.00040082931518552,0.0005175076842412149
69,4,110,0.0003967761993408,0.0005122658629052682
70,4,115,0.00049648284912107,0.000523363799910241
71,4,120,0.0005999565124511399,0.0005163743197188102
72,4,125,0.00049738883972165,0.000524303420102867
73,4,130,0.00075106620788571,0.0005417733429600428
74,4,135,0.00049808025360105,0.0005250319419834067
75,4,140,0.00070085525512692,0.0004836528787737214
76,4,145,0.0008032798767089501,0.0004235828093621593
77,4,150,0.00070405006408687,0.0004858701435592987
78,4,155,0.0004028797149658,0.0005201345341411059
79,4,160,0.00060052871704098,0.0005168931632778625
80,4,165,0.0010065078735351101,6.67023054593139e-06
81,4,170,0.00079905986785885,0.00042122325397672434
82,4,175,0.00079865455627437,0.0004209539690142881
83,4,180,0.00095090866088863,0.0003711753890624114
84,4,185,0.00089950561523432,0.000316189757203576
85,4,190,0.0008999586105346201,0.00031632051241886443
86,4,195,0.00105097293853755,0.00016271956722483787
87,4,200,0.0011256933212279898,0.0003122832046864746
88,4,205,0.00099973678588864,0.0004678859820883055
89,4,210,0.00140078067779537,0.0005151064413774381
90,4,215,0.0011002779006957502,0.0003124632808787032
91,4,220,0.0010005950927733799,3.1963505986956823e-06
92,4,225,0.00127673149108882,0.0004173620567851206
93,4,230,0.00101020336151118,3.524232901752188e-05
94,4,235,0.00099644660949702,1.2489735769767209e-05
95,4,240,0.00149531364440913,0.0005252951364575056
96,4,245,0.00129504203796383,0.0004878210088956832
97,4,250,0.00143086910247797,0.0005168085816989482
98,8,10,0.0,0.0
99,8,15,0.0,0.0
100,8,20,9.999275207519e-05,0.0003162048460661287
101,8,25,0.0,0.0
102,8,30,0.00010042190551756999,0.0003175619484097513
103,8,35,0.0,0.0
104,8,40,0.0,0.0
105,8,45,0.0,0.0
106,8,50,9.992122650146001e-05,0.00031597866234219163
107,8,55,0.00040011405944821997,0.000516547297762364
108,8,60,0.00020022392272948,0.0004221103039044924
109,8,65,0.00020053386688231,0.00042276385986978404
110,8,70,0.00050051212310788,0.0005275885511884946
111,8,75,0.00029954910278319,0.00048232044112682995
112,8,80,0.00039703845977781,0.000512638744221485
113,8,85,0.00040040016174313996,0.0005169163104986608
114,8,90,0.0004994153976440199,0.0005264331782888031
