,0,1,2,3,4,5,6,7,8,9,threshold
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
25,0.0,0.0,0.0,0.0009989738464355469,0.0,0.0,0.0,0.0,0.0,0.0,112
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0009980201721191406,0.0009996891021728516,0.0,0.0,112
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010004043579101562,0.00099945068359375,0.0,112
45,0.0,0.0,0.0,0.0,0.0009992122650146484,0.0,0.0,0.0,0.0,0.0,112
50,0.0,0.0,0.0009970664978027344,0.0,0.0,0.0,0.0,0.0,0.0010066032409667969,0.0,112
55,0.0,0.000997781753540039,0.0,0.0,0.0,0.0009984970092773438,0.0,0.0,0.0,0.0,112
60,0.0,0.0,0.0,0.0,0.0009999275207519531,0.00099945068359375,0.0,0.0,0.0,0.0009989738464355469,112
65,0.0010006427764892578,0.0,0.0,0.0009999275207519531,0.0,0.0,0.0,0.0,0.000997781753540039,0.0,112
70,0.0010013580322265625,0.0009980201721191406,0.0,0.0,0.0,0.00099945068359375,0.0,0.0009992122650146484,0.0,0.0,112
75,0.000997304916381836,0.0009989738464355469,0.0010001659393310547,0.0010006427764892578,0.0009987354278564453,0.0,0.0010001659393310547,0.0,0.0,0.0010001659393310547,112
80,0.0010001659393310547,0.0,0.000997304916381836,0.0,0.0010156631469726562,0.0,0.001001596450805664,0.0,0.0,0.0,112
85,0.0,0.0,0.0,0.0,0.0009953975677490234,0.0,0.0,0.0,0.000978708267211914,0.0009980201721191406,112
90,0.0010001659393310547,0.0,0.0010008811950683594,0.0010013580322265625,0.0010209083557128906,0.0,0.0010001659393310547,0.0015139579772949219,0.0010175704956054688,0.0010075569152832031,112
95,0.0010120868682861328,0.0009996891021728516,0.0009982585906982422,0.0010020732879638672,0.0,0.0,0.00099945068359375,0.0,0.0009982585906982422,0.0010137557983398438,112
100,0.0,0.00099945068359375,0.0010027885437011719,0.0,0.0009946823120117188,0.0009794235229492188,0.0,0.0,0.0010023117065429688,0.0,112
105,0.0010051727294921875,0.0009980201721191406,0.0,0.0010004043579101562,0.00102996826171875,0.0009984970092773438,0.0,0.0009965896606445312,0.0009834766387939453,0.0010111331939697266,112
110,0.0009989738464355469,0.0010004043579101562,0.0010197162628173828,0.001001596450805664,0.00099945068359375,0.0010273456573486328,0.0,0.0010006427764892578,0.0009975433349609375,0.0010008811950683594,112
115,0.0,0.0010080337524414062,0.0,0.0009987354278564453,0.0010027885437011719,0.0,0.0009984970092773438,0.0009980201721191406,0.001001119613647461,0.0010006427764892578,112
120,0.0010221004486083984,0.0,0.00101470947265625,0.0009946823120117188,0.0010323524475097656,0.0010020732879638672,0.0009992122650146484,0.0009999275207519531,0.0009949207305908203,0.0009927749633789062,112
125,0.0010094642639160156,0.0,0.0009975433349609375,0.0010025501251220703,0.0,0.0,0.001003265380859375,0.0015130043029785156,0.0,0.0,112
130,0.0009999275207519531,0.0,0.0009992122650146484,0.0009984970092773438,0.0010113716125488281,0.0009801387786865234,0.0,0.0,0.0010004043579101562,0.0009877681732177734,112
135,0.0,0.0,0.000997304916381836,0.0010118484497070312,0.0009999275207519531,0.0,0.0010275840759277344,0.0010008811950683594,0.0010006427764892578,0.0009992122650146484,112
140,0.0,0.0010113716125488281,0.001016378402709961,0.0010004043579101562,0.0010008811950683594,0.0,0.0010051727294921875,0.0009980201721191406,0.0010151863098144531,0.001027822494506836,112
145,0.001416921615600586,0.002002716064453125,0.0009951591491699219,0.0010025501251220703,0.0,0.000997781753540039,0.0,0.0009989738464355469,0.0,0.0,112
150,0.0010006427764892578,0.0010228157043457031,0.0010099411010742188,0.001012563705444336,0.00099945068359375,0.0010004043579101562,0.0010008811950683594,0.001001119613647461,0.0009989738464355469,0.0,112
155,0.0019960403442382812,0.002003908157348633,0.0009992122650146484,0.0009992122650146484,0.0009887218475341797,0.0009989738464355469,0.001008749008178711,0.0010058879852294922,0.0010042190551757812,0.001001596450805664,112
160,0.001993417739868164,0.0009982585906982422,0.0010037422180175781,0.0009949207305908203,0.0009908676147460938,0.001001119613647461,0.0008883476257324219,0.0010075569152832031,0.001001119613647461,0.0010018348693847656,112
